Date,Time,Data Source,Data Source Type,Data Source Verified By (1),Data Source Verified By (2),No of people within .5 km,No of people self assessed within .5 km,No of people assesed as unwell within .5 km,No of people COVID positive within .5 km,No of people identified as at risk within .5 km,Percentage of COVID positive within .5 km,Percentage growth of COVID positive within .5 km,Percentage of people at risk within .5 km,No of people within 01 km,No of people self assessed within 01 km,No of people assesed as unwell within 01 km,No of people COVID positive within 01 km,No of people identified as at risk within 01 km,Percentage of COVID positive within 01 km,Percentage growth of COVID positive within 01 km,Percentage of people at risk within 01 km,No of people within 02 km,No of people self assessed within 02 km,No of people assesed as unwell within 02 km,No of people COVID positive within 02 km,No of people identified as at risk within 02 km,Percentage of COVID positive within 02 km,Percentage growth of COVID positive within 02 km,Percentage of people at risk within 02 km,No of people within 05 km,No of people self assessed within 05 km,No of people assesed as unwell within 05 km,No of people COVID positive within 05 km,No of people identified as at risk within 05 km,Percentage of COVID positive within 05 km,Percentage growth of COVID positive within 05 km,Percentage of people at risk within 05 km,No of people within 10 km,No of people self assessed within 10 km,No of people assesed as unwell within 10 km,No of people COVID positive within 10 km,No of people identified as at risk within 10 km,Percentage of COVID positive within 10 km,Percentage growth of COVID positive within 10 km,Percentage of people at risk within 10 km
3-7-2020,21:45,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,2630,72,7,4,89,0.15,,3.38,8330,223,15,4,157,0.05,,1.88,34557,837,57,8,453,0.02,,1.31,195183,5513,366,59,2417,0.03,,1.24,644169,15740,1052,166,9411,0.03,,1.46
4-7-2020,14:30,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,4217,67,4,1,78,0.02,-75,1.85,12773,198,11,2,233,0.02,-50,1.82,33719,442,33,8,496,0.02,0,1.47,210861,3019,251,92,3226,0.04,55.93,1.53,573265,7768,593,188,9997,0.03,13.25,1.74
5-7-2020,11:15,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,1712,30,2,2,33,0.12,100,1.93,6784,85,6,4,120,0.06,100,1.77,22766,338,25,8,418,0.04,0,1.84,182040,2422,193,79,2977,0.04,-14.13,1.64,604076,8048,599,215,11453,0.04,14.36,1.9
6-7-2020,08:00,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,3721,55,3,1,45,0.03,-50,1.21,12408,178,10,3,193,0.02,-25,1.56,37317,504,34,11,500,0.03,37.5,1.34,181019,2531,211,88,2409,0.05,11.39,1.33,618633,7643,584,235,8393,0.04,9.3,1.36
7-7-2020,08:30,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,1226,21,3,1,31,0.08,0,2.53,6613,144,9,7,132,0.11,133.33,2,29098,534,33,14,430,0.05,27.27,1.48,201343,3386,229,94,3012,0.05,6.82,1.5,624397,10124,703,266,9579,0.04,13.19,1.53
8-7-2020,09:00,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,3474,40,2,2,54,0.06,100,1.55,13764,183,10,3,212,0.02,-57.14,1.54,34964,530,42,16,521,0.05,14.29,1.49,202547,3267,254,95,3190,0.05,1.06,1.57,649569,9239,750,283,10568,0.04,6.39,1.63
9-7-2020,08:45,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,3688,44,4,2,58,0.05,0,1.57,14391,168,18,4,255,0.03,33.33,1.77,37156,512,49,19,610,0.05,18.75,1.64,199177,2594,220,107,3499,0.05,12.63,1.76,619541,7742,623,312,11897,0.05,10.25,1.92
10-7-2020,08:00,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,225,3,0,0,3,0,-100,1.33,5426,77,7,10,157,0.18,150,2.89,33270,498,50,25,632,0.08,31.58,1.9,199502,2472,210,127,3655,0.06,18.69,1.83,672894,8531,669,376,13788,0.06,20.51,2.05
11-7-2020,19:00,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,3030,79,2,6,113,0.2,0,3.73,10126,172,7,8,273,0.08,-20,2.7,37770,460,30,26,763,0.07,4,2.02,232631,2967,234,148,4862,0.06,16.54,2.09,679333,8787,654,407,15216,0.06,8.24,2.24
12-7-2020,09:15,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,2782,54,1,6,111,0.22,0,3.99,8680,123,6,9,242,0.1,12.5,2.79,33805,404,29,25,722,0.07,-3.85,2.14,201372,2349,173,142,4457,0.07,-4.05,2.21,630356,7627,570,339,14475,0.05,-16.71,2.3
13-7-2020,12:30,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,4087,49,2,3,86,0.07,-50,2.1,14737,194,12,7,342,0.05,-22.22,2.32,35356,451,37,28,765,0.08,12,2.16,186679,2481,236,137,4461,0.07,-3.52,2.39,657644,8272,692,452,16630,0.07,33.33,2.53
14-7-2020,08:30,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,4065,33,1,4,94,0.1,33.33,2.31,14330,175,10,7,396,0.05,0,2.76,39613,530,48,27,1002,0.07,-3.57,2.53,192884,2552,246,151,5114,0.08,10.22,2.65,658055,8702,720,487,17606,0.07,7.74,2.68
15-7-2020,07:00,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,2679,56,5,7,143,0.26,75,5.34,9138,143,10,11,317,0.12,57.14,3.47,38068,498,32,34,1012,0.09,25.93,2.66,235152,3573,288,194,6722,0.08,28.48,2.86,690714,10427,758,558,19856,0.08,14.58,2.87
16-7-2020,08:45,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,3814,65,3,3,110,0.08,-57.14,2.88,14381,209,15,10,441,0.07,-9.09,3.07,36510,526,30,30,1025,0.08,-11.76,2.81,200391,3109,206,175,5841,0.09,-9.79,2.91,588698,8753,603,507,17360,0.09,-9.14,2.95
17-7-2020,08:30,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,4270,84,8,3,130,0.07,0,3.04,14568,215,14,10,461,0.07,0,3.16,37478,552,39,36,1095,0.1,20,2.92,183093,2820,182,180,5674,0.1,2.86,3.1,667337,9974,656,639,21383,0.1,26.04,3.2
18-7-2020,07:45,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,3942,86,5,3,135,0.08,0,3.42,12966,214,9,9,448,0.07,-10,3.46,37822,662,31,36,1190,0.1,0,3.15,191131,3689,205,198,6433,0.1,10,3.37,568689,12629,700,681,22222,0.12,6.57,3.91
19-7-2020,11:30,Arogya Setu ,Indian Govt App,Arogya Setu ,Arogya Setu ,4217,58,3,3,144,0.07,0,3.41,14673,210,13,11,531,0.07,22.22,3.62,37051,510,39,38,1209,0.1,5.56,3.26,192196,2690,191,223,6772,0.12,12.63,3.52,588654,7824,525,658,20676,0.11,-3.38,3.51